"ImageId","Label"
1,"0"
2,"6"
3,"7"
4,"6"
5,"6"
6,"7"
7,"6"
8,"1"
9,"8"
10,"0"
11,"6"
12,"7"
13,"6"
14,"7"
15,"0"
16,"0"
17,"0"
18,"0"
19,"6"
20,"7"
21,"6"
22,"0"
23,"3"
24,"7"
25,"0"
26,"6"
27,"7"
28,"7"
29,"2"
30,"0"
31,"7"
32,"6"
33,"2"
34,"0"
35,"1"
36,"6"
37,"3"
38,"7"
39,"6"
40,"6"
41,"9"
42,"7"
43,"9"
44,"3"
45,"6"
46,"6"
47,"6"
48,"0"
49,"6"
50,"7"
51,"8"
52,"6"
53,"6"
54,"8"
55,"6"
56,"7"
57,"8"
58,"0"
59,"7"
60,"6"
61,"2"
62,"0"
63,"7"
64,"6"
65,"7"
66,"2"
67,"6"
68,"7"
69,"0"
70,"6"
71,"6"
72,"7"
73,"2"
74,"6"
75,"6"
76,"0"
77,"6"
78,"8"
79,"1"
80,"6"
81,"6"
82,"6"
83,"7"
84,"9"
85,"0"
86,"0"
87,"6"
88,"9"
89,"1"
90,"5"
91,"8"
92,"6"
93,"6"
94,"7"
95,"0"
96,"8"
97,"2"
98,"7"
99,"8"
100,"6"
101,"0"
102,"5"
103,"0"
104,"7"
105,"0"
106,"2"
107,"7"
108,"6"
109,"6"
110,"6"
111,"0"
112,"7"
113,"7"
114,"7"
115,"0"
116,"7"
117,"6"
118,"9"
119,"6"
120,"6"
121,"0"
122,"0"
123,"6"
124,"0"
125,"6"
126,"7"
127,"7"
128,"2"
129,"8"
130,"6"
131,"8"
132,"7"
133,"6"
134,"6"
135,"7"
136,"7"
137,"7"
138,"0"
139,"7"
140,"7"
141,"0"
142,"0"
143,"7"
144,"7"
145,"2"
146,"6"
147,"7"
148,"1"
149,"3"
150,"7"
151,"7"
152,"2"
153,"0"
154,"7"
155,"0"
156,"2"
157,"0"
158,"7"
159,"7"
160,"7"
161,"1"
162,"7"
163,"7"
164,"5"
165,"7"
166,"8"
167,"0"
168,"6"
169,"6"
170,"6"
171,"6"
172,"6"
173,"6"
174,"6"
175,"7"
176,"6"
177,"7"
178,"7"
179,"0"
180,"9"
181,"6"
182,"6"
183,"0"
184,"6"
185,"7"
186,"2"
187,"6"
188,"0"
189,"6"
190,"7"
191,"6"
192,"7"
193,"6"
194,"6"
195,"6"
196,"7"
197,"6"
198,"0"
199,"7"
200,"2"
201,"6"
202,"8"
203,"0"
204,"6"
205,"6"
206,"7"
207,"0"
208,"6"
209,"7"
210,"6"
211,"6"
212,"8"
213,"0"
214,"1"
215,"7"
216,"7"
217,"7"
218,"6"
219,"6"
220,"6"
221,"7"
222,"6"
223,"6"
224,"7"
225,"6"
226,"7"
227,"0"
228,"6"
229,"6"
230,"6"
231,"3"
232,"7"
233,"2"
234,"6"
235,"7"
236,"7"
237,"6"
238,"2"
239,"8"
240,"1"
241,"6"
242,"6"
243,"0"
244,"0"
245,"2"
246,"7"
247,"7"
248,"6"
249,"2"
250,"5"
251,"6"
252,"8"
253,"7"
254,"7"
255,"0"
256,"6"
257,"8"
258,"0"
259,"6"
260,"7"
261,"7"
262,"0"
263,"8"
264,"7"
265,"6"
266,"7"
267,"6"
268,"6"
269,"0"
270,"0"
271,"7"
272,"7"
273,"7"
274,"8"
275,"6"
276,"6"
277,"0"
278,"5"
279,"7"
280,"6"
281,"0"
282,"6"
283,"6"
284,"9"
285,"3"
286,"7"
287,"8"
288,"6"
289,"6"
290,"6"
291,"6"
292,"5"
293,"6"
294,"7"
295,"2"
296,"6"
297,"2"
298,"7"
299,"0"
300,"6"
301,"7"
302,"7"
303,"6"
304,"0"
305,"6"
306,"7"
307,"0"
308,"8"
309,"0"
310,"0"
311,"6"
312,"6"
313,"6"
314,"7"
315,"7"
316,"8"
317,"7"
318,"6"
319,"7"
320,"6"
321,"6"
322,"1"
323,"0"
324,"6"
325,"6"
326,"6"
327,"1"
328,"7"
329,"6"
330,"6"
331,"6"
332,"6"
333,"1"
334,"0"
335,"6"
336,"7"
337,"7"
338,"7"
339,"7"
340,"6"
341,"6"
342,"7"
343,"0"
344,"0"
345,"6"
346,"0"
347,"6"
348,"6"
349,"1"
350,"6"
351,"0"
352,"2"
353,"3"
354,"0"
355,"5"
356,"6"
357,"6"
358,"6"
359,"7"
360,"6"
361,"0"
362,"6"
363,"0"
364,"6"
365,"0"
366,"7"
367,"0"
368,"7"
369,"6"
370,"7"
371,"6"
372,"0"
373,"5"
374,"5"
375,"8"
376,"6"
377,"8"
378,"6"
379,"0"
380,"7"
381,"6"
382,"6"
383,"6"
384,"0"
385,"0"
386,"6"
387,"6"
388,"7"
389,"8"
390,"7"
391,"0"
392,"0"
393,"7"
394,"0"
395,"7"
396,"0"
397,"1"
398,"0"
399,"0"
400,"6"
401,"6"
402,"6"
403,"0"
